epoch,loss,val_r2,train_r2,mse_valid,mae_valid,bottom_mre
19,0.0003229560966871099,0.8909869194030762,0.9029354453086853,0.00024246121756732464,0.011784479022026062,1.1252752542495728
20,0.0003151783082334898,0.8930191397666931,0.9054120779037476,0.0002379412908339873,0.01167523954063654,1.0461218357086182
21,0.00030329451697873403,0.8970147371292114,0.9097208976745605,0.00022905442165210843,0.01143956370651722,1.0471242666244507
22,0.0002918054248106737,0.9001066088676453,0.912982702255249,0.00022217765217646956,0.011293659918010235,1.0571200847625732
23,0.00028117509029078634,0.9016109108924866,0.9152477979660034,0.0002188319485867396,0.011140687391161919,1.0463463068008423
24,0.0002778815633242701,0.9031018018722534,0.9171162247657776,0.00021551598911173642,0.01108129508793354,0.9627792239189148
25,0.00026909906511504874,0.9071155786514282,0.9209567904472351,0.00020658873836509883,0.01085059717297554,0.9556191563606262
26,0.0002619463663244924,0.9063935279846191,0.9213178157806396,0.00020819470228161663,0.010968822054564953,0.8764334917068481
27,0.0002558672176211771,0.9112716317176819,0.9267406463623047,0.00019734501256607473,0.010584580712020397,0.9353634119033813
28,0.0002501692923603924,0.9127159118652344,0.9287482500076294,0.0001941327063832432,0.010524624958634377,0.9174125790596008
29,0.00024407619894547823,0.9118257761001587,0.928346574306488,0.00019611252355389297,0.010644540190696716,0.8371304273605347
30,0.00023756949763885452,0.9148722887039185,0.9312931299209595,0.00018933670071419328,0.010401604697108269,0.8055683374404907
31,0.00023311667897966495,0.9146262407302856,0.9318945407867432,0.00018988395459018648,0.010414217598736286,0.8477663993835449
32,0.00022665664194695032,0.9187044501304626,0.9355164766311646,0.00018081329471897334,0.010118433274328709,0.8526386022567749
33,0.00022260943630196076,0.9213771820068359,0.938875675201416,0.00017486876458860934,0.009946088306605816,0.9566791653633118
34,0.0002198522403584017,0.9189918041229248,0.9363025426864624,0.00018017427646555007,0.01015945989638567,0.7975807785987854
35,0.00021427693180906798,0.9180262088775635,0.9361713528633118,0.000182321819011122,0.010223403573036194,0.8755694627761841
36,0.00020933706989179722,0.9183007478713989,0.9374194741249084,0.00018171119154430926,0.010184304788708687,0.7612260580062866
37,0.0002077697577702815,0.9233845472335815,0.9420912265777588,0.0001704041933408007,0.00983812753111124,0.7263308763504028
38,0.00020519904895384874,0.9246153831481934,0.9435396790504456,0.00016766659973654896,0.009764840826392174,0.6486375331878662
39,0.00019802841265403664,0.9276617169380188,0.9467859268188477,0.00016089103883132339,0.009502540342509747,0.5806959271430969
40,0.00019401766126868417,0.9251360297203064,0.9447307586669922,0.00016650852921884507,0.00973323080688715,0.6612511277198792
41,0.00019299397000199236,0.9277341961860657,0.9469985961914062,0.00016072987637016922,0.00954530294984579,0.5837398171424866
42,0.00018998215235863908,0.9293549060821533,0.9485084414482117,0.00015712519234512,0.00940905511379242,0.7311570644378662
43,0.00018738456775977015,0.9278125166893005,0.9477386474609375,0.00016055571904871613,0.00952709186822176,0.6590520739555359
44,0.0001850770649802072,0.9306409955024719,0.950695276260376,0.0001542647078167647,0.009350068867206573,0.7363555431365967
45,0.0001831153638651064,0.9296861290931702,0.9502539038658142,0.00015638844342902303,0.009370414540171623,0.560814380645752
46,0.0001805371414900269,0.9295563101768494,0.9494207501411438,0.00015667725529056042,0.009489716030657291,0.5671998262405396
47,0.00017738628701087744,0.929938554763794,0.9508672952651978,0.00015582703053951263,0.00935052428394556,0.5419553518295288
48,0.00017624189087084733,0.9299641847610474,0.95052570104599,0.00015577005979139358,0.009437811560928822,0.6253234148025513
49,0.00017231951484491755,0.930860698223114,0.9516700506210327,0.0001537760836072266,0.009350774809718132,0.6007643938064575
50,0.00017028703953602577,0.9286568760871887,0.9497373700141907,0.0001586776925250888,0.009551254101097584,0.5001807808876038
51,0.00016809727800564896,0.9337660670280457,0.9550294280052185,0.0001473141019232571,0.009080011397600174,0.5274109840393066
52,0.00016669861957673086,0.9317995309829712,0.9532263278961182,0.00015168791287578642,0.00930857565253973,0.5645824670791626
53,0.0001637333869831648,0.9282610416412354,0.9501279592514038,0.00015955801063682884,0.009570354595780373,0.48149943351745605
