,ID,formula,smiles,HOMO_LUMO_gap
81,ABUVAX,C23 H18 O2 S1,Cc1ccc(SC2=C(c3ccccc3)c3cccc(C)c3OC2=O)cc1,5.9843278
82,ABUVEA,C23 H13 Cl1 N2 O5,COC(=O)c1c2nc3ccc(OC)cc3nc2c(Cl)c2C(=O)c3ccccc3C(=O)c12,5.255334790000001
83,ACAFOA01,C14 H15 N3 O1 S1,COc1ccc(NC(=S)NCc2ccccn2)cc1,5.82786234
84,ACAMEL,C10 H8 O4,COC1=CC(=O)C2=C(OC(=C2)C)C1=O,6.046369749999999
85,ACAMOJ,C22 H18 O2,C=CCOc1ccc2ccccc2c1C=CC(=O)c1ccccc1,5.61779045
86,ACAMUP,C28 H22 O2,C=Cc1ccc(COc2ccc3ccccc3c2C=CC(=O)c2ccccc2)cc1,5.41642619
87,ACAPRE,C18 H21 N3 O1,OCCNCCCNc1c2ccccc2nc2ccccc12,5.32635651
88,ACAYOV,C31 H23 O3 P1,Cc1cccc(C)c1C1=C2C=CC(=O)C=C2P(=O)(c2ccccc2)c2cc3cc(O)ccc3cc12,4.86593988
89,ACDANT,C30 H14 O2,O=C1c2ccccc2C2=C3c4cccc5C(=O)c6ccccc6C(=C3c3cccc1c23)c45,4.5298792699999995
90,ACEDAN01,C17 H4 F10,Fc1c(F)c(F)c(c(F)c1F)C1=CC=C(C1)c1c(F)c(F)c(F)c(F)c1F,5.72663598
91,ACEDES,C20 H22 O6,COC(=O)C1=C(C(=O)OC)C2(OCC(C)(C)CO2)C(=C1)c1ccccc1,6.06215236
92,ACEDIW,C21 H24 O7,COC(=O)C1=C(C(=O)OC)C2(OCC(C)(C)CO2)C(=C1)c1ccc(OC)cc1,5.85670641
93,ACEFAS,C29 H23 N1 O4,CC(=O)Oc1ccc2c(Oc3c4CCCN5CCCc(cc3C3=C2C(=O)c2ccccc32)c45)c1,4.70702539
94,ACEFEW,C26 H23 N1 O2,Cc1ccccc1C1=C2C=CC(=O)C=C2Oc2c3CCCN4CCCc(cc12)c34,4.6659362
95,ACEFIA,C27 H21 N1 O3,Oc1ccc2c(Oc3c4CCCN5CCCc(cc3C3=C2C(=O)c2ccccc32)c45)c1,4.6515141600000005
96,ACEFIZ,C13 H10 N2 O3,OC(=O)c1cc(ccc1O)N=Nc1ccccc1,6.36038915
97,ACEFOG,C29 H23 N3 O4,CC(=O)Oc1ccc2c(Oc3c4CCCN5CCCc(cc3C32c2ccccc2C(=O)C3=[N+]=[N-])c45)c1,5.71738411
98,ACEFUM,C29 H23 N3 O4,CC(=O)Oc1ccc2c(Oc3c4CCCN5CCCc(cc3C32c2ccccc2C(=O)C23N=N2)c45)c1,5.34676505
99,ACEHIA,C30 H29 N1 O12,CN1C(=O)c2cccc3c(ccc(C1=O)c23)C#CCOC1OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,5.896162909999999
100,ACEJEX,C16 H13 N1 O1,Cc1cc([nH+]c2ccccc12)c1ccccc1[O-],4.498586179999999
101,ACEJUO,C46 H33 N3 O2 S1,COC1=C2SC(=C1OC)C(=C1C=CC(=N1)C(=C1NC(=C(c3ccccc3)C3=NC(=C2c2ccccc2)C=C3)C=C1)c1ccccc1)c1ccccc1,4.00252263
